group_name,rule_type,n_patterns,pretty_patterns_joined,raw_patterns_joined
PAT_BODYSUIT_UNDERWEAR,include,10,light shape body ; seamless light shape body ; microfibre body ; lace body ; lace-trimmed body ; lace-trimmed cotton body ; seamless body ; pointelle body ; shaping bikers ; bodysuits,\blight shape body\b ; \bseamless light shape body\b ; \bmicrofibre body\b ; \blace body\b ; \blace[- ]trimmed body\b ; \blace[- ]trimmed cotton body\b ; \bseamless body\b ; \bpointelle body\b ; \bshaping biker(?:s)?\b ; \bbodysuit(?:s)?\b
PAT_SOCKS_HOSIERY,include,13,ankle socks ; trainer socks ; sneaker socks ; crew socks ; no-show socks ; knee-high socks ; slipper socks ; socks ; tights ; hosiery ; pantyhose ; hold-ups ; stockings,\bankle sock(?:s)?\b ; \btrainer sock(?:s)?\b ; \bsneaker sock(?:s)?\b ; \bcrew sock(?:s)?\b ; \bno[- ]show sock(?:s)?\b ; \bknee[- ]high sock(?:s)?\b ; \bslipper sock(?:s)?\b ; \bsock(?:s)?\b ; \btight(?:s)?\b ; \bhosiery\b ; \bpantyhose\b ; \bhold[- ]up(?:s)?\b ; \bstocking(?:s)?\b
PAT_JUMPSUIT,include,17,jumpsuits ; playsuits ; rompers ; dungarees ; all-in-ones ; coveralls ; leotards ; unitards ; one-piece outfits ; one-piece long sleeve outfits ; sport body ; sports body ; snowsuits ; pramsuits ; ski suits ; overalls ; pile overalls,\bjumpsuit(?:s)?\b ; \bplaysuit(?:s)?\b ; \bromper(?:s)?\b ; \bdungaree(?:s)?\b ; \ball[- ]in[- ]one(?:s)?\b ; \bcoverall(?:s)?\b ; \bleotard(?:s)?\b ; \bunitard(?:s)?\b ; \bone[- ]piece outfit(?:s)?\b ; \bone[- ]piece long sleeve outfit(?:s)?\b ; \bsport body\b ; \bsports body\b ; \bsnowsuit(?:s)?\b ; \bpramsuit(?:s)?\b ; \bski suit(?:s)?\b ; \boverall(?:s)?\b ; \bpile overall(?:s)?\b
PAT_DRESS,include,11,blazer dresses ; tee dresses ; cape dresses ; tie dresses ; corset dresses ; dress sets ; dressy sets ; dress & top sets ; top & dress sets ; dresses ; gathered chiffon kaftan,\bblazer dress(?:es)?\b ; \btee dress(?:es)?\b ; \bcape dress(?:es)?\b ; \btie dress(?:es)?\b ; \bcorset dress(?:es)?\b ; \bdress set(?:s)?\b ; \bdressy set(?:s)?\b ; \bdress & top set(?:s)?\b ; \btop & dress set(?:s)?\b ; \bdress(?:es)?\b ; \bgathered chiffon kaftan\b
PAT_DRESS_EXCLUDE,exclude,1,dress shirts,\bdress shirt(?:s)?\b
PAT_SET,include,12,2-piece sets ; 3-piece sets ; base layer sets ; jersey sets ; knitted sets ; ribbed sets ; cotton sets ; velour sets ; fleece sets ; costume sets ; costume ; sets,\b2[- ]piece set(?:s)?\b ; \b3[- ]piece set(?:s)?\b ; \bbase layer set(?:s)?\b ; \bjersey set(?:s)?\b ; \bknitted set(?:s)?\b ; \bribbed set(?:s)?\b ; \bcotton set(?:s)?\b ; \bvelour set(?:s)?\b ; \bfleece set(?:s)?\b ; \bcostume set(?:s)?\b ; \bcostume\b ; \bset(?:s)?\b
PAT_BOTTOMS_JEANS,include,9,skinny jeans ; straight jeans ; wide-leg jeans ; mom jeans ; boyfriend jeans ; flared jeans ; denim jeans ; jeggings ; jeans,\bskinny jeans\b ; \bstraight jeans\b ; \bwide[- ]leg jeans\b ; \bmom jeans\b ; \bboyfriend jeans\b ; \bflared jeans\b ; \bdenim jeans\b ; \bjegging(?:s)?\b ; \bjeans\b
PAT_BOTTOMS_LEGGINGS,include,19,leggings ; jeggings ; treggings ; running tights ; training tights ; gym tights ; sport tights ; sports tights ; base layer tights ; thermal tights ; heattech tights ; ski tights ; compression tights ; performance tights ; workout tights ; active tights ; activewear tights ; yoga tights ; cycling tights,\blegging(?:s)?\b ; \bjegging(?:s)?\b ; \btregging(?:s)?\b ; \brunning tight(?:s)?\b ; \btraining tight(?:s)?\b ; \bgym tight(?:s)?\b ; \bsport tight(?:s)?\b ; \bsports tight(?:s)?\b ; \bbase layer tight(?:s)?\b ; \bthermal tight(?:s)?\b ; \bheattech tight(?:s)?\b ; \bski tight(?:s)?\b ; \bcompression tight(?:s)?\b ; \bperformance tight(?:s)?\b ; \bworkout tight(?:s)?\b ; \bactive tight(?:s)?\b ; \bactivewear tight(?:s)?\b ; \byoga tight(?:s)?\b ; \bcycling tight(?:s)?\b
PAT_BOTTOMS_JOGGERS,include,4,joggers ; sweatpants ; track pants ; trackies,\bjogger(?:s)?\b ; \bsweatpant(?:s)?\b ; \btrack pant(?:s)?\b ; \btrackie(?:s)?\b
PAT_SKIRT,include,5,mini skirts ; midi skirts ; maxi skirts ; skorts ; skirts,\bmini skirt(?:s)?\b ; \bmidi skirt(?:s)?\b ; \bmaxi skirt(?:s)?\b ; \bskort(?:s)?\b ; \bskirt(?:s)?\b
PAT_BOTTOMS_SHORTS,include,6,sweatshorts ; bermuda shorts ; cycling shorts ; paper bag shorts ; shorts sets ; shorts,\bsweatshort(?:s)?\b ; \bbermuda short(?:s)?\b ; \bcycling short(?:s)?\b ; \bpaper bag short(?:s)?\b ; \bshort(?:s)? set(?:s)?\b ; \bshorts\b
PAT_BOTTOMS_TROUSERS,include,12,trousers ; pants ; chinos ; cargos ; culottes ; flared trousers ; flared pants ; tailored trousers ; suit pants ; wide-leg pants ; wide-leg trousers ; breeches,\btrouser(?:s)?\b ; \bpant(?:s)?\b ; \bchino(?:s)?\b ; \bcargo(?:s)?\b ; \bculotte(?:s)?\b ; \bflared trouser(?:s)?\b ; \bflared pant(?:s)?\b ; \btailored trouser(?:s)?\b ; \bsuit pant(?:s)?\b ; \bwide[- ]leg pant(?:s)?\b ; \bwide[- ]leg trouser(?:s)?\b ; \bbreeches\b
PAT_OUTERWEAR_GILET,include,31,gilets ; waistcoats ; puffer vests ; quilted vests ; teddy vests ; fluffy vests ; padded vests ; windproof vests ; fleece vests ; thermal vests ; ski vests ; running vests ; pile vests ; activewear vests ; corduroy vests ; lined vests ; linen vests ; pufftech vest ; puffertech vest ; pufftech blouson ; puffertech blouson ; pufftech washable vest ; puffertech washable vest ; pufftech compact vest ; puffertech compact vest ; pufftech seamless vest ; puffertech seamless vest ; pufftech cropped vest ; puffertech cropped vest ; pufftech short blouson ; puffertech short blouson,\bgilet(?:s)?\b ; \bwaistcoat(?:s)?\b ; \bpuffer vest(?:s)?\b ; \bquilted vest(?:s)?\b ; \bteddy vest(?:s)?\b ; \bfluffy vest(?:s)?\b ; \bpadded vest(?:s)?\b ; \bwindproof vest(?:s)?\b ; \bfleece vest(?:s)?\b ; \bthermal vest(?:s)?\b ; \bski vest(?:s)?\b ; \brunning vest(?:s)?\b ; \bpile vest(?:s)?\b ; \bactivewear vest(?:s)?\b ; \bcorduroy vest(?:s)?\b ; \blined vest(?:s)?\b ; \blinen vest(?:s)?\b ; \bpufftech vest\b ; \bpuffertech vest\b ; \bpufftech blouson\b ; \bpuffertech blouson\b ; \bpufftech washable vest\b ; \bpuffertech washable vest\b ; \bpufftech compact vest\b ; \bpuffertech compact vest\b ; \bpufftech seamless vest\b ; \bpuffertech seamless vest\b ; \bpufftech cropped vest\b ; \bpuffertech cropped vest\b ; \bpufftech short blouson\b ; \bpuffertech short blouson\b
PAT_OUTERWEAR_JACKET,include,8,jackets ; blazers ; bombers ; windbreakers ; fleece jackets ; shackets ; blousons ; trucker jackets,\bjacket(?:s)?\b ; \bblazer(?:s)?\b ; \bbomber(?:s)?\b ; \bwindbreaker(?:s)?\b ; \bfleece jacket(?:s)?\b ; \bshacket(?:s)?\b ; \bblouson(?:s)?\b ; \btrucker jacket(?:s)?\b
PAT_OUTERWEAR_COAT,include,11,puffer coats ; trench coats ; cape coats ; caped coats ; coats ; parkas ; overcoats ; anoraks ; macs ; ponchos ; trenchcoat,\bpuffer coat(?:s)?\b ; \btrench coat(?:s)?\b ; \bcape coat(?:s)?\b ; \bcaped coat(?:s)?\b ; \bcoat(?:s)?\b ; \bparka(?:s)?\b ; \bovercoat(?:s)?\b ; \banorak(?:s)?\b ; \bmac(?:s)?\b ; \bponcho(?:s)?\b ; \btrenchcoat\b
PAT_SWEATSHIRT_HOODIE,include,6,hoodies ; sweatshirts ; sweats ; crewneck sweatshirts ; hooded sweatshirts ; zip-up hoodies,\bhoodie(?:s)?\b ; \bsweatshirt(?:s)?\b ; \bsweat(?:s)?\b ; \bcrewneck sweatshirt(?:s)?\b ; \bhooded sweatshirt(?:s)?\b ; \bzip[- ]up hoodie(?:s)?\b
PAT_SWEATER_CARDIGAN,include,20,knitwear ; sweaters ; jumpers ; cardigans ; turtlenecks ; pullovers ; roll-necks ; zip-up cardigans ; knitted vests ; knit [up to 2 extra words] tops ; woollen tops ; knitted capes ; knit capes ; rib-knit capes ; ribbed knit capes ; cable knit capes ; soft knit capes ; chunky knit capes ; cashmere capes ; fringe-trimmed capes,"\bknitwear\b ; \bsweater(?:s)?\b ; \bjumper(?:s)?\b ; \bcardigan(?:s)?\b ; \bturtleneck(?:s)?\b ; \bpullover(?:s)?\b ; \broll[- ]neck(?:s)?\b ; \bzip[- ]up cardigan(?:s)?\b ; \bknitted vest(?:s)?\b ; \bknit(?: [\w-]+){0,2} top(?:s)?\b ; \bwoollen top(?:s)?\b ; \bknitted cape(?:s)?\b ; \bknit cape(?:s)?\b ; \brib[- ]knit cape(?:s)?\b ; \bribbed knit cape(?:s)?\b ; \bcable knit cape(?:s)?\b ; \bsoft knit cape(?:s)?\b ; \bchunky knit cape(?:s)?\b ; \bcashmere cape(?:s)?\b ; \bfringe[- ]trimmed cape(?:s)?\b"
PAT_SWEATER_CARDIGAN_EXCLUDE,exclude,3,turtlenecks [up to 2 extra words] top / dress ; turtlenecks [up to 2 extra words] t-shirts ; turtlenecks [up to 2 extra words] tees,"\bturtleneck(?:s)?(?: [\w-]+){0,2}(?:top|dress)\b ; \bturtleneck(?:s)?(?: [\w-]+){0,2} t[- ]shirt(?:s)?\b ; \bturtleneck(?:s)?(?: [\w-]+){0,2} tee(?:s)?\b"
PAT_TOPS_TANK,include,12,tanks ; cami[sole]s ; vest tops ; strappy tops ; halter tops ; halterneck tops ; sleeveless tops ; singlets ; bandeau[x] ; tube tops ; premium linen vest ; newborn body,\btank(?:s)?\b ; \bcami(?:sole)?(?:s)?\b ; \bvest top(?:s)?\b ; \bstrappy top(?:s)?\b ; \bhalter top(?:s)?\b ; \bhalterneck top(?:s)?\b ; \bsleeveless top(?:s)?\b ; \bsinglet(?:s)?\b ; \bbandeau(?:x)?\b ; \btube top(?:s)?\b ; \bpremium linen vest\b ; \bnewborn body\b
PAT_TOPS_TSHIRT,include,26,t-shirts ; tees ; jersey tops ; graphic tees ; long sleeve tees ; crew neck t-shirts ; short sleeve tees ; short sleeve t-shirts ; airism cotton crew neck t ; cotton tops ; microfibre tops ; boat-neck tops ; sport tops ; sports tops ; activewear tops ; running tops ; cycling tops ; football tops ; muscle fit sport tops ; muscle fit sports tops ; muscle fit activewear tops ; high neck tops ; v-neck tops ; cap sleeve tops ; rib tops ; long-sleeve[d] [up to 2 extra words] tops,"\bt[- ]shirt(?:s)?\b ; \btee(?:s)?\b ; \bjersey top(?:s)?\b ; \bgraphic tee(?:s)?\b ; \blong sleeve tee(?:s)?\b ; \bcrew neck t[- ]shirt(?:s)?\b ; \bshort sleeve tee(?:s)?\b ; \bshort sleeve t[- ]shirt(?:s)?\b ; \bairism cotton crew neck t\b ; \bcotton top(?:s)?\b ; \bmicrofibre top(?:s)?\b ; \bboat[- ]neck top(?:s)?\b ; \bsport top(?:s)?\b ; \bsports top(?:s)?\b ; \bactivewear top(?:s)?\b ; \brunning top(?:s)?\b ; \bcycling top(?:s)?\b ; \bfootball top(?:s)?\b ; \bmuscle fit sport top(?:s)?\b ; \bmuscle fit sports top(?:s)?\b ; \bmuscle fit activewear top(?:s)?\b ; \bhigh neck top(?:s)?\b ; \bv[- ]neck top(?:s)?\b ; \bcap sleeve top(?:s)?\b ; \brib top(?:s)?\b ; \blong[- ]sleeve(?:d)?(?: [\w-]+){0,2} top(?:s)?\b"
PAT_TOPS_SHIRT,include,24,dress shirts ; button-down shirts ; overshirts ; polos ; blouses ; henleys ; shirts ; button-front tops ; peplum tops ; lace trim tops ; lace-trimmed tops ; lace tops ; draped tops ; draped viscose tops ; twist-detail tops ; crinkled tie front tops ; tie-front tops ; balloon-sleeved tops ; print flutter sleeve tops ; flutter sleeve tops ; rib-knit collared tops ; collared tops ; smocked tops ; collared knitted tops,\bdress shirt(?:s)?\b ; \bbutton[- ]down shirt(?:s)?\b ; \bovershirt(?:s)?\b ; \bpolo(?:s)?\b ; \bblouse(?:s)?\b ; \bhenley(?:s)?\b ; \bshirt(?:s)?\b ; \bbutton[- ]front top(?:s)?\b ; \bpeplum top(?:s)?\b ; \blace trim top(?:s)?\b ; \blace[- ]trimmed top(?:s)?\b ; \blace top(?:s)?\b ; \bdraped top(?:s)?\b ; \bdraped viscose top(?:s)?\b ; \btwist[- ]detail top(?:s)?\b ; \bcrinkled tie front top(?:s)?\b ; \btie[- ]front top(?:s)?\b ; \bballoon[- ]sleeved top(?:s)?\b ; \bprint flutter sleeve top(?:s)?\b ; \bflutter sleeve top(?:s)?\b ; \brib[- ]knit collared top(?:s)?\b ; \bcollared top(?:s)?\b ; \bsmocked top(?:s)?\b ; \bcollared knitted top(?:s)?\b
PAT_TOPS_SHIRT_EXCLUDE,exclude,4,t-shirts ; tees ; jersey tops ; singlets,\bt[- ]shirt(?:s)?\b ; \btee(?:s)?\b ; \bjersey top(?:s)?\b ; \bsinglet(?:s)?\b
PAT_TOPS_GENERIC,include,1,tops,\btop(?:s)?\b
PAT_TOPS_GENERIC_EXCLUDE,exclude,9,tops shoes ; tops sneakers ; tops trainers ; tops runners ; tops tennis shoes ; tops backpacks ; tops bags ; tops sunglasses ; tops glasses,\btop(?:s)? shoe(?:s)?\b ; \btop(?:s)? sneaker(?:s)?\b ; \btop(?:s)? trainer(?:s)?\b ; \btop(?:s)? runner(?:s)?\b ; \btop(?:s)? tennis shoe(?:s)?\b ; \btop(?:s)? backpack(?:s)?\b ; \btop(?:s)? bag(?:s)?\b ; \btop(?:s)? sunglasses\b ; \btop(?:s)? glasses\b
